@T,D1D2,,,,
descr,average observed soil water content at probe D1 D2 depths 30cm 60cm 90cm 150cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,04.10.2002,,,,
date_end,19.09.2012,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1583.5,,,
x,,513610.5,,,
y,,4494889.5,,,
,18.08.2003,0.247324289,0.315611099,0.267030292,0.268647487
,19.08.2003,0.2433522,0.313313014,0.265819457,0.268332312
,20.08.2003,0.242831587,0.310820591,0.263769336,0.267711916
,21.08.2003,0.24300202,0.309637606,0.26175539,0.266971706
,22.08.2003,0.242697445,0.308895993,0.260151217,0.26625665
,23.08.2003,0.242301831,0.308224734,0.258631637,0.265508788
,24.08.2003,0.240695591,0.307254475,0.257308825,0.264838483
,25.08.2003,0.237612107,0.305539494,0.256103416,0.264285066
,26.08.2003,0.236021853,0.303289665,0.254299717,0.263659656
,27.08.2003,0.236054743,0.302060228,0.252318797,0.262967974
,28.08.2003,0.235610039,0.301135238,0.250566782,0.262251054
,29.08.2003,0.234422874,0.300678608,0.249310747,0.261670213
,30.08.2003,0.234780318,0.299484224,0.281545332,0.261489425
,31.08.2003,0.250844489,0.297244193,0.248443528,0.261414609
,01.09.2003,0.252149557,0.294382881,0.246766307,0.163791815
,02.09.2003,0.254050902,0.292995708,0.245018543,0.260318158
,03.09.2003,0.255365163,0.292589792,0.243716914,0.259571252
,04.09.2003,0.25508176,0.292198073,0.242976875,0.258948425
,05.09.2003,0.256439856,0.292241395,0.242437594,0.258248579
,06.09.2003,0.257120137,0.29298906,0.242258739,0.257644905
,07.09.2003,0.256064401,0.293207079,0.242350035,0.25734453
,08.09.2003,0.253956192,0.292322967,0.242244346,0.257221104
,09.09.2003,0.253592756,0.291620775,0.241822569,0.257100898
,10.09.2003,0.25214686,0.290830133,0.241365408,0.256953573
,11.09.2003,0.249603987,0.289532377,0.240789825,0.256747435
,12.09.2003,0.24865578,0.288052997,0.239958954,0.256510871
,13.09.2003,0.248477939,0.287517098,0.23919248,0.256170707
,14.09.2003,0.246563343,0.28670196,0.238607172,0.255833286
,15.09.2003,0.245540077,0.28556479,0.237878133,0.255453816
,16.09.2003,0.246125329,0.285342339,0.237187497,0.255043773
,17.09.2003,0.246182933,0.285914286,0.236864135,0.254620985
,18.09.2003,0.241447093,0.285407182,0.23673624,0.254275556
,19.09.2003,0.23847811,0.283209207,0.236035585,0.253946869
,20.09.2003,0.237839043,0.281956796,0.235015013,0.253613586
,21.09.2003,0.237259304,0.281580291,0.234240439,0.253149238
,22.09.2003,0.236633936,0.281731191,0.2337362,0.252681958
,23.09.2003,0.235466813,0.281849148,0.233428761,0.252217856
,24.09.2003,0.235117006,0.282516261,0.233248684,0.25177644
,25.09.2003,0.233036023,0.282913999,0.233267394,0.251416311
,26.09.2003,0.232158124,0.283105288,0.233188422,0.251068919
,27.09.2003,0.2304452,0.28368279,0.233233087,0.250763461
,28.09.2003,0.228200867,0.283506591,0.233236929,0.250528813
,29.09.2003,0.225920454,0.282853642,0.233022711,0.250315998
,30.09.2003,0.223847923,0.281961933,0.232644998,0.250126876
,01.10.2003,0.220990307,0.280341808,0.232022676,0.249905904
,02.10.2003,0.221145352,0.279039882,0.231136802,0.249643221
,03.10.2003,0.221811555,0.278668574,0.230415923,0.249270088
,04.10.2003,0.221530257,0.278984032,0.230044853,0.24887379
,05.10.2003,0.221290461,0.278841613,0.229782239,0.248473611
,06.10.2003,0.221759189,0.279058803,0.229564723,0.248094516
,07.10.2003,0.221868514,0.279549805,0.229530202,0.247753373
,08.10.2003,0.222508183,0.280003879,0.229574833,0.24746967
,09.10.2003,0.22243431,0.280691594,0.229740372,0.247240147
,10.10.2003,0.220912091,0.279378911,0.230005832,0.24714379
,11.10.2003,0.218298429,0.277627936,0.230284874,0.247103766
,12.10.2003,0.215438763,0.276782671,0.23030072,0.247021469
,13.10.2003,0.214902189,0.275803846,0.229937451,0.246953442
,14.10.2003,0.212236439,0.274731746,0.229512529,0.246831501
,15.10.2003,0.210300565,0.273013826,0.228818788,0.246665794
,16.10.2003,0.209489381,0.271572267,0.227964897,0.246442537
,17.10.2003,0.209135879,0.270541898,0.227164436,0.246155559
,18.10.2003,0.211229231,0.270464398,0.226542557,0.245797518
,19.10.2003,0.212553694,0.271376145,0.226399756,0.245416484
,20.10.2003,0.213596539,0.272251969,0.226555959,0.245083912
,21.10.2003,0.213959396,0.273148478,0.226855841,0.244844303
,22.10.2003,0.214002668,0.273650855,0.227176151,0.244682706
,23.10.2003,0.214035551,0.274070892,0.227437981,0.244569913
,24.10.2003,0.213944694,0.27442817,0.227688369,0.244501606
,25.10.2003,0.21059405,0.273892134,0.227843361,0.244475898
,26.10.2003,0.206143861,0.271522237,0.227431772,0.244432039
,27.10.2003,0.205480999,0.269164953,0.226401758,0.244336623
