@T,C1C2C3,,,,
descr,average observed soil water content at probe C1 C2 C3 depths 30cm 60cm 90cm 120cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,22.10.2002,,,,
date_end,19.09.2012,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1584.333333,,,
x,,513547,,,
y,,4494896.333,,,
,30.09.2003,0.307300142,0.278817154,0.226863778,0.196080759
,01.10.2003,0.304822143,0.277268216,0.226134076,0.195846508
,02.10.2003,0.304931842,0.276043641,0.22515758,0.19545302
,03.10.2003,0.305703666,0.275645533,0.224436303,0.194987404
,04.10.2003,0.305652249,0.275767957,0.224069518,0.19463639
,05.10.2003,0.305548862,0.27549128,0.223803487,0.194425175
,06.10.2003,0.306193449,0.275526266,0.223561263,0.194245672
,07.10.2003,0.306566253,0.2758092,0.223502819,0.194152587
,08.10.2003,0.307350201,0.276088134,0.223537774,0.194158172
,09.10.2003,0.307617943,0.276549472,0.223710617,0.194235741
,10.10.2003,0.307827491,0.276842504,0.223896703,0.194390494
,11.10.2003,0.307218501,0.276999346,0.224092196,0.194583344
,12.10.2003,0.304821723,0.27619537,0.22405508,0.194765172
,13.10.2003,0.304222024,0.275246906,0.223621282,0.194799742
,14.10.2003,0.30182965,0.274203328,0.223119858,0.194685016
,15.10.2003,0.299926296,0.272627696,0.222308913,0.194446629
,16.10.2003,0.298901607,0.271318626,0.221356852,0.194030373
,17.10.2003,0.29820111,0.270267221,0.220461865,0.19353994
,18.10.2003,0.299631952,0.270006946,0.219736501,0.193057757
,19.10.2003,0.300585363,0.270593353,0.219523101,0.19272117
,20.10.2003,0.301209147,0.271145903,0.219601939,0.192593365
,21.10.2003,0.301212125,0.27170751,0.219822313,0.192638072
,22.10.2003,0.300848791,0.271957642,0.220058944,0.192775248
,23.10.2003,0.300393176,0.272147948,0.220230818,0.192955121
,24.10.2003,0.29978359,0.272267568,0.220390434,0.19313396
,25.10.2003,0.29653705,0.271658856,0.220447191,0.193317087
,26.10.2003,0.292207966,0.269594833,0.219895188,0.193359446
,27.10.2003,0.290850481,0.267522948,0.218748292,0.193072567
,28.10.2003,0.290908573,0.26663566,0.217729126,0.192553183
,29.10.2003,0.289726736,0.266065381,0.217054855,0.192072138
,30.10.2003,0.288587494,0.265695834,0.216545387,0.191699403
