@T,climate,,,,,,,
name,rhum.csv,,,,,,,
descr,relative humidity,,,,,,,
,,,,,,,,
missing_val,-9999,,,,,,,
date_start,01.01.1980,,,,,,,
date_end,30.04.2015,,,,,,,
date_format,dd.MM.yyyy,,,,,,,
,,,,,,,,
unit,%,,,,,,,
tres,d,,,,,,,
,,,,,,,,
@H,date,rehum[0],rehum[2],rehum[3],rehum[4],rhum[5],rhum[6],rhum[7]
name,-,IASF901,Cedar Rapids-A131329,WATERLOO MUNICIPAL AIRPORT IA US,MARSHALLTOWN MUNICIPAL AIRPORT IA US,Ames-Airport,ESTHERVILLE MUNICIPAL AIRPORT IA US,MASON CITY MUNICIPAL AIRPORT IA US
ID,-,1,3,4,5,6,7,8
elevation,-,347.81,240,268,296.9,280,401.4,367
,24.09.1980,-9999,-9999,62.27,-9999,-9999,-9999,65.54
,25.09.1980,-9999,-9999,70.05,-9999,-9999,-9999,74.11
,26.09.1980,-9999,-9999,63.35,-9999,-9999,-9999,67.61
,27.09.1980,-9999,-9999,57.76,-9999,-9999,-9999,59.75
,28.09.1980,-9999,-9999,65.1,-9999,-9999,-9999,67.51
,29.09.1980,-9999,-9999,69.92,-9999,-9999,-9999,80.06
,30.09.1980,-9999,-9999,78.75,-9999,-9999,-9999,86.76
,01.10.1980,-9999,66,63.13,-9999,-9999,-9999,61.34
,02.10.1980,-9999,63.53,65.58,-9999,-9999,-9999,64.29
,03.10.1980,-9999,60.66,58.66,-9999,-9999,-9999,72.49
,04.10.1980,-9999,59.8,65.88,-9999,-9999,-9999,76.8
,05.10.1980,-9999,61.91,63.97,-9999,-9999,-9999,70.7
,06.10.1980,-9999,57.42,59.04,-9999,-9999,-9999,64.15
,07.10.1980,-9999,55.9,56.45,-9999,-9999,-9999,51.1
,08.10.1980,-9999,54.6,57.09,-9999,-9999,-9999,53.89
,09.10.1980,-9999,68.03,66.07,-9999,-9999,-9999,67.26
,10.10.1980,-9999,45.12,44.95,-9999,-9999,-9999,47.17
,11.10.1980,-9999,54.75,57.43,-9999,-9999,-9999,62.47
,12.10.1980,-9999,64.65,64.93,-9999,-9999,-9999,68.05
,13.10.1980,-9999,53.8,61.9,-9999,-9999,-9999,63.86
,14.10.1980,-9999,61.64,68.43,-9999,-9999,-9999,78.28
,15.10.1980,-9999,91.13,82.15,-9999,-9999,-9999,88.32
,16.10.1980,-9999,93.25,84.91,-9999,-9999,-9999,90.74
,17.10.1980,-9999,65.69,68.07,-9999,-9999,-9999,72.53
,18.10.1980,-9999,66.83,64.8,-9999,-9999,-9999,73.84
,19.10.1980,-9999,64.45,69.13,-9999,-9999,-9999,76.86
,20.10.1980,-9999,67.09,68.7,-9999,-9999,-9999,73.87
,21.10.1980,-9999,55.46,60.95,-9999,-9999,-9999,69.72
,22.10.1980,-9999,57.47,57.4,-9999,-9999,-9999,72.63
,23.10.1980,-9999,65.57,68.92,-9999,-9999,-9999,85.21
,24.10.1980,-9999,83.99,81.12,-9999,-9999,-9999,81.4
,25.10.1980,-9999,72.65,66.97,-9999,-9999,-9999,71.09
,26.10.1980,-9999,64.47,65.12,-9999,-9999,-9999,64.52
,27.10.1980,-9999,81.79,74.34,-9999,-9999,-9999,74.73
,28.10.1980,-9999,70.97,64.85,-9999,-9999,-9999,68.56
,29.10.1980,-9999,72.32,67.66,-9999,-9999,-9999,76.47
,30.10.1980,-9999,70.35,65.59,-9999,-9999,-9999,69.01
,31.10.1980,-9999,65.84,61.17,-9999,-9999,-9999,61.71
,01.11.1980,-9999,60.92,64.16,-9999,-9999,-9999,60.99
,02.11.1980,-9999,62.88,59.41,-9999,-9999,-9999,69
,03.11.1980,-9999,64.75,64.29,-9999,-9999,-9999,73.07
,04.11.1980,-9999,63.78,58.37,-9999,-9999,-9999,62.62
