@T,soils,,,,,,,,,,,
name,soils_hor.csv,,,,,,,,,,,
descr,soil input parameters by horizon,,,,,,,,,,,
,,,,,,,,,,,,
@H,SID,depth,aircapacity,fieldcapacity,deadcapacity,kf,bulk_density,corg,root,kvalue,A_skel,p_content
min,1,0,0,0,0,0,0,0,0,0,0,0
max,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1,100,500
unit,n/a,cm,Vol.%,Vol.%,Vol.%,cm/d,g/cm,%,n/a,n/a,%,mg/100g_soil
,8803,68,0.423,0.283,0.15,17.04,1.53,0.87,1,0.32,3,10
,8901,18,0.445,0.275,0.14,30.672,1.47,2.03,1,0.24,2,10
,8902,28,0.432,0.269,0.136,27.168,1.51,1.45,1,0.24,2,10
,8903,45,0.416,0.292,0.159,11.88,1.55,0.44,1,0.37,4,10
,8904,61,0.394,0.233,0.105,26.952,1.61,0.15,1,0.37,4,10
,9001,18,0.51,0.303,0.155,53.568,1.3,1.57,1,0.24,2,10
,9002,23,0.417,0.263,0.133,23.328,1.54,0.87,1,0.32,2,10
,9003,48,0.405,0.258,0.13,20.424,1.58,0.44,1,0.32,2,10
,9004,63,0.394,0.233,0.105,26.952,1.61,0.15,1,0.37,4,10
,9101,56,0.537,0.394,0.232,17.592,1.23,3.49,1,0.28,2,10
,9102,40,0.513,0.424,0.282,4.056,1.29,0.29,1,0.28,2,10
,9103,56,0.431,0.318,0.183,8.736,1.51,0.58,1,0.37,3,10
,9201,36,0.487,0.364,0.226,11.04,1.36,3.2,1,0.28,2,10
,9202,53,0.456,0.349,0.215,7.416,1.44,1.45,1,0.28,2,10
,9203,63,0.409,0.284,0.152,12.504,1.57,0.15,1,0.37,3,10
,9301,25,0.523,0.367,0.199,23.568,1.26,3.78,1,0.24,2,10
,9302,21,0.464,0.334,0.196,13.32,1.42,2.33,1,0.24,2,10
,9303,53,0.448,0.307,0.166,17.232,1.46,1.74,1,0.32,3,10
,9304,104,0.394,0.233,0.105,26.952,1.61,0.15,1,0.37,4,10
,9401,20,0.471,0.317,0.177,22.104,1.4,2.91,1,0.24,2,10
,9402,21,0.471,0.313,0.172,24.144,1.4,2.91,1,0.24,2,10
,9403,66,0.438,0.294,0.159,18.624,1.49,1.45,1,0.32,2,10
,9404,45,0.411,0.283,0.153,13.176,1.56,0.29,1,0.32,3,10
,9501,18,0.435,0.27,0.137,27.48,1.5,1.57,1,0.28,2,10
,9502,23,0.417,0.263,0.133,23.04,1.54,0.87,1,0.32,2,10
